Title,Ingredients,Steps,Loves,URL
Kambing Pedas Gongso,1 kg daging kambing Bumbu halus: 10 siung bawang merah 10 siung bawang putih 6 cabe merah besar 10 cabe rawit (atau sesuai selera) 3 cm kunyit 3 cm jahe 5 butir kemiri 1 sdt merica butir Rempah rempah: 2 lembar daun jeruk 2 lembar daun salam 2 batang sereh (geprek) 2 cm lengkuas (geprek) 4 butir cengkeh kayu manis (sedikit) bumbu lain-lainnya: 3 sdm kecap manis 2 sdm saus tiram (boleh diskip jika tak punya) 1 sdm air asam yang kental 100 ml air   setengah gelas sesuai selera gula jawa+garam+penyedap 1 buah tomat belah jadi empat 1 2 buah bawang bombay rajang kasar melingkar minyak secukupnya utk menumis ,Potong dadu daging kambing yg sudah dicuci dan dibersihkan  motongnya jangan tebal tebal ya biar cepat lunak. Tumis bumbu halus hingga harum sambil diaduk aduk agar tidak gosong. Masukkan rempah rempahnya  tumis hingga harum Masukkan daging yg dipotong tadi  aduk aduk sekitar 4 menitan  sampai tercampur dengan bumbu. Masukkan bumbu bumbu lainnya seperti kecap gula jawa garam air asam air biasa dan lain2nya. tutuplah wajan dan kecilkan api biarkan sampai daging matang dan air tadi benar2 menyusut  (pas ditutup wajan nya sambil sesekali dibuka dan diaduk aduk ya agar tidak gosong ya) Masukkan potongan bawang bombay yg dipotong melingkar kasar  beserta tomat  jika suka tambahkan potongan cabe hijau  aduk aduk cepat dan sebentar saja atau sampai kelihatan agak layu. Sajikan dengan nasi putih hangat dan lalapan. Bikin lagi euiy.ðŸ˜‰ ,84,/id/resep/3257097-kambing-pedas-gongso-kitaberbagi
Sate Kambing Madura,500 gr Daging Kambing hati dan lemak (Iris Dadu) Secukupnya Tusuk Sate Bumbu Halus :: 2 buah Cabe Merah besar (buang bijinya) 4 Butir Bawang merah 4 Siung Bawang putih 5 Buah Kemiri 1 sdm Gula merah 1 2 sdt Kaldu Bubuk Secukupnya Garam Secukupnya Gula pasir Bahan Saos kacang :: 100 ml Minyak goreng 200 gr Kacang tanah (Goreng & haluskan) 2 sdm Kecap Manis (Opsional) 2 lbr Daun Jeruk Purut 200 ml Air (Kekentalan sesuai selera) Pelengkap :: sesuai selera Nasi hangat  Lontong secukupnya Bawang Merah Irisan sesuai selera Jeruk Limau Nipis sesuai selera Cabe rawit  sambal Irisan sesuai selera Kecap Manis sesuai selera Bawang Goreng ,Siapkan tusuk sate  tusuk tiap potong daging kambing  1 hati dan 1 potong lemak. Sisihkan. Membuat saus kacang Panaskan minyak goreng  tumis bumbu halus dan daun jeruk hingga harum. Masukkan kacang tanah halus dan air  masak hingga kental. Tambahkan kecap manis. Aduk rata sisihkan. Olesan daging sate :: Campur 2 sdm saus kacang dan kecap manis..aduk rata. Olesi sate dengan bumbu olesan hingga rata. Kemudian bakar sate sambil dibalik-balik hingga matang. Angkat. Sajikan sate kambing dengan saus kacang irisan bawang merah perasan jeruk limau irisan cabe rawit/sambal kecap manis dan taburan bawang goreng..nikmat dimakan dengan nasi hangat ataupun lontong..ðŸ‘ðŸ˜€ ,76,/id/resep/956152-sate-kambing-madura
Sate kambing goreng,daging kambing 1kg iriis kecil2 bumbu 5 pc bawang putih 2 pc bawang merah ketumbar di sangrai 2 pc kemiri merica di sangrai jahe sesuai selera cabe rawit selera cabe merah sesui sesuai selera kecap bangau disini saya tdk menggunakan garam karena kecap bangau sudah enak minyak untuk menumis saya pakai olive oil ,Halus kan bumbu disini ketumbar dan merica sebelum di halus kan saya sangrai dulu biar wanginya mantep Panas kan wajan atau pan masuk kan minyak... Setelah panas masuk kan bumbu yang sudah di halus kan... Tumis sampai harum sesudah harum masuk kan.. Daging.. Aduk aduk.. Sampai tercampur bumbu dan kalau sudah tercampur tambah kan kecap bangau aduk lagi sampai tercampur Kalau daging sudah tercampur dg bumbu dan kecap...beri air supaya lebih bisa meresap... Tgu sekitar satu jam hingga tidak ada air dan terbentuk seperti ada caramel nya... Kalau sudah ada seperti caramel nya matikan api hidangkan dg.. Nasi hangat enaaakkkkkk pokok nya.. ,66,/id/resep/2139793-sate-kambing-goreng
Tongseng Kambing khas Yogya,400-500 gram daging kambing (sudah direbus bentar ngilangin kotoran) 8 helai kol  iris kasar 1 buah tomat kecil  potong jd 4 1 sdt Garam halus 1 3 sdt penyadap secukupnya Gula merah secukupnya Kecap manis secukupnya minyak secukupnya air bersih Bumbu halus: 5 siung bawang merah 4 siung bawang putih 7 buah cabe rawit merah 2 cm jahe Bumbu lainnya: 2 cm lengkuas  geprek 1 batang sereh  geprek 2 lembar daun salam 2 lembar daun jeruk ,Panaskan minyak  tumis bumbu halus beserta bumbu lainnya hingga harum/matang lalu masukkan air dan juga dagingnya  lada  garam  penyedap  gula merah  masak hingga daging benar-benar empuk. Jika kuah sudah mengental namun daging belum matang bisa ditambahkan air dan masak hingga empuk baru masukkan kol dan kecap manis. Terakhir masukkan tomat masak hingga layu  dan tes rasa. Setelah daging empuk dan kuah pas tingkat kekentalannya  bisa matikan kompor. Dan tongseng kambing khas Yogyakarta siap disajikan dalam wadah saji. ,65,/id/resep/2953503-tongseng-kambing-khas-yogya
Ungkep daging kambing bumbu iris ,350 gr daging kambing tanpa lemak iris tipis 2 ruas jari jahe iris tipis (aslinya lengkuas) 1 btg serre geprek 4 siung bawang putih iris tipis 5 siung bawang merah iris tipis 1 sdm gula merah 1 4 sdt ketumbar bubuk 1 4 sdt merica bubuk (tambahan sy) Secukupnya garam 1 2 sdt gula 2 sdm kecap manis 2 gls air 2 sdm minyak ,Panaskan minyak  Tumis bawang  jahe  serre. Masukkan daging kambing  aduk hingga berubah warna. Tambahkan air. Masak hingga mendidih. Masukkan gula merah  ketumbar  merica  gula dan garam Masak hingga air menyusut. Masukkan kecap manis.masak kembali hingga daging empuk Dan bumbu meresap. Tes rasa  angkat dan hidangkan. Lebih baik  makanlah daging kambing ini dgn sayuran seperti timun agar tetap sehat di badan ðŸ˜„ Masakan praktis dan cepat  ,62,/id/resep/3268680-ungkep-daging-kambing-bumbu-iris-kitaberbagi
Gulai tetelan kambing,500 gr tulangan kambing 5 gelas santan dg kekentalan sedang(pke gelas blimbing) 1 lembar daun kunyit 3 lembar daun jeruk 1 batang serai digeprek 2 cm lengkuas digeprek 3 cm kayu manis 2 butir kapulaga ambil isinya 2 butir cengkeh 1 buah bunga pekak  optional Secukupnya garam sesuai selera gula bumbu yg dihaluskan: 1 sdt ketumbar Â¹ Â² sdt  merica 4 siung bawang putih 5 siung bawang merah Â¹ â´ sdt  jinten 3 cm kunyit 2 cm jahe 3 butir kemiri secuil pala ,Rebus tulang hingga empuk lalu tiriskan Tumis bumbu halus  lalu tambahkan bumbu lain nya. Tumis hingga harum Sementara menumis bumbu  tuang santan dipanci Masukan bumbu tumis ke santan.. Aduk terus hingga mendidih agar santan tdk pecah Tambahkan gula garam dan kaldu bubuk jika mau Masak selama kira2 3 mnit. Jika sudah matang taburi bawang gorengðŸ˜ ,61,/id/resep/2929736-gulai-tetelan-kambing
Kepala kambing Bumbu Merica,1 kepala kambing 5 siung bawang putih 2 sdm merica utuh 10 buah cabe hijau Secukupnya Garam 1 keping gula merah kira kira 1 2 ons Secukupnya daun jeruk  salam  jahe  lengkuas. Serei Secukupnya Garam 1 buah tomat besar 1 sachet Kaldu sapi bubuk secukupnya Kecap ,Rebus kepala kambing sampai empuk.. PoTong sesuai selera Haluskan bawang putih merica dan garam... Tumis dengan sedikit minyak sampai harum Masukkan potongan daging kepala kambing dan cabe iris.. Aduk rata... Masukkan gula merah jahe daun salam daun jeruk lengkuas serei... Aduk rata Tambahkan air... Setelah bumbu meresap.. Tambahkan kaldu bubuk dan Kecap...masukkan Potongan toMat....Cek rasa Sajikan dengan taburan daun bawang dan bawang goreng ðŸ˜‹ðŸ˜‹ ,60,/id/resep/3302537-kepala-kambing-bumbu-mericakitaberbagi
Krengsengan daging kambing,1 4 kg daging kambing 1 4 kg iga kambing Bumbu halus: 8 siung bawang merah 5 siung bawang putih 3 cabe merah 1 2 cm pala 1 2 sdt mrica butiran Secukupnya garam gula kecap 2 Kayu manis 5 daun jeruk 1 buah tomat potong kotak air asam jawa 7 cabe rawit selera(suka pedes iris aja) secukupnya Air ,Tumis bumbu halus smpe harum masukkn daging smpe berubah warna. Masukkn kayu manis  daun jeruk kecap aduk rata tambahkan air masak smpe daging empuk Masukkn tomat cabe rawit masak bentar.terakhir gula garam.cek rasa. Angkat sajikn ðŸ˜‰ ,60,/id/resep/3267824-krengsengan-daging-kambing-kitaberbagi
Tengkleng Iga Kambing,500 gr iga kambing (potongÂ²  ditambah jeroan kambing bila suka) BUMBU haluskan : 6 buah cabe merah keriting 10 buah cabe rawit sesuai selera 10 siung bawang merah 6 siung bawang putih 5 cm kunyit bakar 5 butir kemiri sangrai 1 4 butir biji pala 1 2 sdt jinten sangrai 1 sdt merica butiran sangrai Bumbu Tambahan : 4 cm jahe geprek 4 cm lengkuas geprek 2 batang serai geprek 4 lembar daun jeruk sobek 2 lembar daun salam 3 cm kayu manis 4 butir cengkeh secukupnya Gula  Garam dan Kaldu bubuk secukupnya Air secukupnya Kecap manis bango  (saya 2sdm) 4 sdm minyak goreng untuk menumis ,ðŸ¾ Didihkan air didalam panci  rebus iga kambing selama 3 menit atau hingga keluar busaÂ² dan kotoran. Buang air rebusan lalu angkat iga kambing sisihkan (Lakukan hal sama pada jeroan kambing). ðŸ¾ Panaskan minyak didalam wajan lalu tumis bumbuÂ² yg dimemarkan kemudian masukkan bumbu halus dan bumbu tambahan kecuali air matang dan kecap manis lalu tumis hingga harum. ðŸ¾ Masukkan iga kambing kemudian adukÂ² hingga bumbu rata. ðŸ¾Tambahkan air matang dan biarkan mendidih lalu kecilkan api dan masak iga kambing hingga menjadi empuk. ðŸ¾Tambahkan kecap manis Bango dan jangan lupa koreksi rasa ya... Angkat dan siap disajikan bersama irisan jeruk nipis dan bawang goreng. Selamat Mencoba ðŸ˜Š ,59,/id/resep/3265783-tengkleng-iga-kambing-kitaberbagi
Gulai Kambing Pedas,1 5 kg Tulang & daging Kambing (Potong dadu sesuai selera) 3 Liter Air 1 Liter Santan 4 cm Lengkuas(Dimemarkan) 6 cm Kayu Manis 5 Biji Kapulaga Bumbu Halus :: 6 Cabe Merah (Buang bijinya  Opsional) 7 Cabe Merah Kering (Direbus) 8 Siung Bawang Merah 5 cm Kunyit 5 cm Jahe 2 sdt Ketumbar Bumbu Pelengkap 1 sdt Kaldu Bubuk 1 3 sdt Lada Bubuk 1 3 sdt Jintan Bubuk 1 2 sdt Pala Bubuk,Panaskan air dan irisan tulang serta daging kambing masukkan semua bahan rempah masak hingga mendidih dan daging kambing empuk. Panaskan minyak goreng tumis bumbu halus hingga harum dan berubah warna. Kemudian tuang dalam panci yang berisi kuah kaldu dan daging kambing tadi  beri bumbu pelengkap  aduk rata dan masak hingga setengah mendidih. Kemudian tuang santan..aduk terus agar santan tidak pecah tes rasa  masak hingga mendidih e matang. Sajikan gulai kambing pedas ini dengan nasi hangat dan taburan bawang goreng. ,55,/id/resep/2398935-gulai-kambing-pedas
Roti Jala Kari Kambing Khas Melayu,Bahan Roti Jala: 350 gr tepung terigu 2 butir telur ayam 600 ml santan ecer air (secukupya) 1 sdt garam secukupnya kunyit bubuk (optional) Bahan Kari kambing: 600 gr daging kambing dan tulangnya 3 buah kentang  kupas  potong kotak 400 ml santan kental dr 1butir kelapa 700 ml santan encer secukupnya minyak utk menumis rempah-rempah: 1 batang kecil kayumanis 2 buah kapulaga 1 buah bungalawang pekak 4 biji cengkeh 10 lbr daun. kari 2 btg sereh 1 sdm bumbu kari siap pakai bumbu halus: 8 buah cable merah keriting 4 buah cabe merah kerig 6 siung bawang merah 3 siung bawang putih 3 buah kemiri sangrai seruas kunyit 2 cm jahe Acar Timun Nenas Bahan: 1 buah timun 1 4 buah nenas 4 buah cabe merah  iris bulat 6 buah cabe rawit iris bulat 5 siung bawang merah  iris secukupnya gula  garam cuka ,Roti Jala: Campur dan aduk rata semua bahan  hingga tidak ada yg menggumpal (bisa jg diblender utk lebih praktis) kemudian saring adonan. Panaskan teflon anti lengket yg dioles sedikit margarin  tuang sesendok sayur kedalam cetakan roti jala(bisa jg masukkan ke plastik segitiga gunting ujungnya) buat pola melingkar seperti jaring  masak hingga matang  angkat. Lipat bagian kanan dan kiri rotijala  lalu gulung. Lakukan hingga semua habis. Kari Kambing: Panaskan minyak  tumis bumbu halus dan bahan rempah hingga harum. Masukkan daging kambing  aduk hingga berubah warna  tuang santan encer  masak hingga daging 3/4 matang. Masukkan kentang  aduk rata  tambahkan santan kental  beri gula garam secukupnya. Masak hingga daging matang dan kentang empuk  koreksi rasanya. Angkat. Acar timun nenas: kupas timun  buang bijinya  potong kotak. Nenas potong kotak. Campur semua Bahan Jadi satu  koreksi rasa manis  asin  asamnya  sajikan sbg pelengkap roti jala. ,55,/id/resep/861039-roti-jala-kari-kambing
Sate Kambing Khas Madura,bahan utama : 1 kg daging kambing 10 lembar daun pepaya (diremas-remas) Tusuk sate secukupnya bumbu halus : 8 buah cabai merah keriting 8 siung bawang merah 4 siung bawang putih 8 sendok makan minyak goreng bumbu sambal : 400 gram kecap manis kacang tanah yang digoreng dan dihaluskan 600 ml air 200 gram kecap manis 4 sendok teh garam 2 sendok teh gula pasir bahan olesan sate : 500 gram kecap manis 4 sendok makan margarin yang sudah dilelehkan 2 sendok teh merica bubuk 1 sendok makan garam ,Pertama daging kambing dibungkus dengan daun pepaya yang diremas. Lalu didiamkan selama 80 menit. Baru diiris kotak kotak Kalau sudah silahkan daging ditusuk dengan tusuk sate dan dilumuri dengan campuran bumbu olesan. Biarkan selama 1 jam di dalam lemari es Kalau sudah silahkan daging dibakar di atas pemangang sampai semua matang Kemudian sangrai semua bumbu halus sampai wangi lalu masukan gorengan kacang tanah dan air kemudian diaduk rata Jangan lupa menambahkan kecap manis  sedikit garam dan juga gula pasir kemudian diaduk rata lagi Sekarang resep sate kambing madura dengan bumbu kacang sudah siap disajikan ,54,/id/resep/815116-sate-kambing-bumbu-kacang-empuk-khas-madura
Krengsengan Kambing Ala Jawa Timuran,500 gr daging kambing rebus setengah matang agar tidak bau 2 lembar daun jeruk 2 lembar daun salam 10 sdm kecap manis secukupnya Garam secukupnya Gula pasir secukupnya Air secukupnya Minyak goreng Bumbu Halus 10 butir bawang merah (goreng dulu) 4 siung bawang putih (goreng dulu) 3 butir kemiri (goreng dulu) 3 buah cabai merah besar 5 buah cabai merah keriting 1 sdt merica butiran ,Tumis bumbu halus dengan minyak goreng secukupnya hingga wangi. Jika aroma sudah mulai keluar masukkan daun jeruk dan daun salam. Jika bau langu dari bumbu sudah hilang masukkan daging kambing. Aduk hingga daging tercampur rata dengan bumbu. Beri air hingga daging kambing terendam. Masukkan kecap manis aduk rata. Bumbui dengan garam & gula pasir sesuai selera.Masak hingga daging kambing empuk (jika daging belum empuk bisa ditambah air lagi) air menyusut & bumbu meresap sempurna. TIPS : Sebelum saya olah daging kambing saya rebus bersama irisan kunyit lengkuas jahe sereh daun salam & daun jeruk untuk menghilangkan bau prengus dari daging kambing. Cukup rebus daging sampai air mendidih lalu tiriskan daging. Daging kambing siap diolah. ,53,/id/resep/3285043-krengsengan-kambing-ala-jawa-timuran
