Title;Ingredients;Steps;Loves
Rendang Telur;4 butir telur--200-250 ml santan--1 lembar daun kunyit--2 lembar daun salam--1 sereh geprek--Gula pasir--1 bungkus bumbu rendang indofood--2 sdm kelapa parut yang disangrai dan ditumbuk halus--Bumbu haluskan :--7 siung bawang merah--1 cm kunyit--1 cm lengkuas--1 cm jahe kupas--2 butir kemiri--4 siung bawang putih--1/2 sdt ketumbar bubuk--1/4 sdt lada bubuk--;Rebus telur,kupas lalu goreng--Tumis bumbu halus hingga harum,masukan daun kunyit,daun salam,sereh,aduk rata,masukan bumbu rendang indofood,tumis hingga bumbu matang.--Masukan telor aduk rata,masukan santan.Adukvagar santan tidak pecah.masukan kelapa parut sangrai yang sudah ditumbuk halus.Beri gula,koreksi rasa--Masak hingga kuah kental.Jika sudah kental matikan kompor.Siap disajikan--;21
Buncis Cah Telur;20 buah buncis--4 siung bawang putih cincang--1/4 bawang Bombay iris halus--2 buah cabe merah iris halus--5 buah bakso iris tipis /sosis--Kaldu Ayam--Air panas--1-2 butir telur--;Tumis bawang putih, bawang bombay, cabe merah sampai wangi Masukkan bakso atau sosis.--Masukkan buncis yang sudah di iris, oseng sampai berubah warna, Masukkan sedikit air panas tunggu sampai agak matang, Masukkan bumbu penyedap Dan tes rasa.--Tepikan buncisnya dan Masukkan Telurnya, oseng Telur kemudian balurkan dengan buncisnya.--;6
Telur cah tomat;2 butir telur--1 buah tomat --2 siung bawang merah--1/2 siung bawang bombay--2 buah cabe rawit merah--daun bawang--Garam--Merica--Gula--;Tumis bawang merah dan bawang bombay, masukkan telur lalu orak arik dan sisihkan--Tambahkan sedikit minyak disisi lain wajan, masukkan tomat, cabe dan daun bawang lalu aduk2 sampai tomat layu,--Setelah layu, aduk rata dengan telur yg sudah di orak arik, tambahkan garam, merica dan gula, koreksi rasa, sajikan dengan nasi hangat--;2
Cah sawi putih campur telur;1 buah sawi putih--2 butir telur--3 siung bawang putih geprek--10 buah cabe merah iris--Air--Garam, gula--;Tumis bawang dan cabe sampai harum.--Sisihkan cabe dan bawang kepinggir wajan, masukkan telur aduk rata kemudian orak arik.--Masukkan sawi aduk sebentar tambahkan air, garam, gula, aduk rata tes rasa. Hidangan siap disajikan--;3
Balado ikan pindang balut telur;3 potong ikan pindang salem--2 butir telor--Bumbu yang dihaluskan:--5 bawang merah--4 bawang putih--8 cabe merah--2 tomat--Garam--Kaldu bubuk-- Motto--Gula--;Bersihkan pindang--Kocok telur di wadah lalu masukkan ikan pindang kedalam wadah yang berisi telur dan penyedap rasa--Panaskan minyak lalu goreng pindang lalu sisihkan--Tumis bumbu yang dihaluskan lalu masukkan air, beri garam, gula, kaldu bubuk,motto aduk rata dan masukkan pindang yang digoreng tadi aduk rata--Setelah matang angkat dan tiriskan--;17
Telur Sambal Ebi;4 butir telur--5 Bawang Merah--2 Bawang Putih--5 Cabai Rawit--Serai Geprek--Merica Bubuk--Garam--Gula--;Rebus telur sampai matang, kupas lalu Goreng. Sisihkan--Haluskan bawang merah bawang putih dan cabai, lalu tumis sampai harum. Masukkan serai lalu ebi. Berikan Garam , merica lalu gula.--Masukkan telur, aduk sampai rata kemudian tambahkan  air tunggu hingga meresap.--Angkat dan sajikan.--;0
Sandwich telur mayo;Roti tawar--2 butir Telur--Mayonaise--Susu kental manis--Garam--Merica bubuk--1/2 Alpukat--1 butir Tomat--;Rebus telur hingga matang, lalu kupas, cincang putih telur sisihkan--Hancurkan kuning telur, tambahkan mayonaise 1 sendok makan,susu, merica bubuk, garam masukkan irisan alpukat, tomat aduk sampai rata--Panggang roti tawar sebentar lalu olesi dengan isian tutup kembali dengan roti, potong segitiga atau sesuai selera--;11
Gulai Telur & Kentang;Bumbu halus:--10 buah cabai merah keriting--6 siung bawang merah--6 siung bawang putih--3 cm kunyit--3 cm lengkuas--3 cm jahe--1 sdt ketumbar sangrai--50 ml minyak--Untuk tumisan:--minyak--2 lembar daun salam--5 lembar daun jeruk--2 batang serai--10 buah telur rebus--3 buah kentang rebus--3 buah asam kandis--500 ml santan cair--150 ml santan kental--1 sdm garam--1 sdm merica--1/2 sdm gula--;Rebus telur & kentang. Sisihkan.--Blender kasar semua bumbu halus --Tumis daun salam, daun jeruk, dan serai. Tambahkan garam, lada dan gula.--Tuang bumbu halus dari blender. Tumis sampai harum.--Masukkan telur & kentang. Aduk rata. Lalu tuang santan cair. Aduk dan masukkan asam kandis. Aduk sampai mengental.--Terakhir, masukkan santan kental. Aduk dan angkat asam kandisnya. Tambahkan garam dan gula sesuai selera.--;17
Makaroni telur;150 gram makaroni elbow--1 butir telur--1 sdm minyak wijen--air--garam--Bumbu tabur--bumbu balado, jagung bakar,bon cabe--;Didihkan air yg sudah dicampur minyak dan garam. Lalu rebus makaroni hingga matang. Tiriskan--Siapkan wajan, tambahkan minyak lalu masukkan makaroni, tumis hingga setengah kering.--Masukkan telur yang sudah dikocok. Lalu orak arik hingga matang. Tiriskan, kemudian beri bumbu tabur. Siap dimakan--;32
Kroket kentang wortel isi telur rebus;500 gram kentang--2 buah wortel--1 batang daun bawang--2 butir telur rebus untuk isian--Minyak goreng--Bumbu halus:--2 siung bawang putih--2 siung bawang merah--1 sdt lada--1 sdt garam--kaldu bubuk rasa ayam--Pelapis:--1 butir telur kocok--100 gram tepung roti--;Potong kentang tebal 1 cm cuci bersih lalu goreng hingga kuning kecoklatan lalu dihaluskan--Potong wortel berbentuk dadu rebus sampai mendidih lalu tiriskan masukkan ke dalam adonan kentang bersama bumbu halus dan daun bawang yang sudah dicincang--Aduk sampai merata kemudian koreksi rasa.bentuk seperti bola-bola lalu diisi dengan telur rebus yg sudah dipotong kecil2 sampai adonan habis baru di celupkan ke dalam telur yang sudah di kocok lalu di baluri tepung roti sembari ditekan agar tepung rotinya menempel sempurna--Lalu goreng dengan api sedang--Setelah kuning kecoklatan angkat tiriskan dan kroketnya siap disajikan--;8
Opor tahu telur;9 butir telur, rebus, kupas kulitnya--5 buah tahu putih, potong,goreng sampai berkulit--1 batang sereh--1 ruas jari lengkuas--1 lembar daun salam--1 lembar daun jeruk--santan 65ml--1 liter Air--Bumbu halus :--5 buah bawang merah--2 siung bawang putih--2 butir kemiri--1 ruas jahe--1 ruas kunyit--1/2 sdt lada butiran--1/4 sdt jinten--1 sdm ketumbar--garam, gula dan penyedap rasa ayam--;Siapkan bahan, cuci bumbu halus dan rempah daun, sisihkan.--Tumis bumbu halus hingga harum, setelah itu masukkan sereh, lengkuas, daun salam, daun jeruk, aduk sebentar sampai daun layu, tambahkan air, biarkan mendidih, angkat, sisihkan.--Masak air didalam panci kurang lebih 900 ml hingga mendidih, setelah mendidih masukan tumisan bumbu,aduk sebentar baru telur dan tahu dimasukkan.--Aduk sesekali lalu bumbui garam, gula dan penyedap rasa ayam sesuai selera, tes rasa. Masukkan santan instan diaduk terus sampai mendidih hingga tahu dan telur terlihat berubah warna.--Matikan api, angkat dan sajikan--;103
Orak arik telur tumis bawang merah;2 butir telur--100 gr bawang merah--10 buah cabe rawit merah--1 sdt terasi--Garam--Gula pasir--Kaldu bubuk--Minyak--;Panaskan wajan kemudian masukan telur dan buat orak-arik, sisihkan--Panaskan minyak, tumis bawang merah dan cabe rawit hingga harum--Tambahkan terasi, gula pasir, garam dan kaldu bubuk--Koreksi rasa--Masukkan telur orak-arik. Aduk rata. Angkat--;22
Stick Tempe telur;1 papan tempe--Baluran:--1 butir telur--2 sdm terigu--Bumbu :--1 siung bawang putih--1/2 sdt lada bubuk--Garam,kaldu bubuk--;Kukus tempe hingga empuk,angkat dan potong sesuai selera--Campurkan telur,terigu dan bumbu aduk rata gunakan sebagai baluran tempe--Goreng hingga kecoklatan,angkat dan sajikan--;29
Fuyunghai Telur;4 butir telur ayam--Kol--Daun bawang / kucai-- Tepung serbaguna--Garam--Bahan Saus :--Saus tomat--1/4 sdt Tepung maizena--3 Bawang putih--1 Bawang bombay--Kacang polong--Gula / Garam / Penyedap--air--;Kocok telur masukan garam, tepung, kol dan daun bawang yang sudah di iris. Lalu goreng di wajan--Tumis bawang putih dan bawang bombay sampai harum. setelah harum masukan air dan saos tomat aduk sampai mendidih, lalu masukan gula garam penyedap aduk lagi koreksi rasa, kemudian masukan kacang polong. terakhir masukan larutan maizena. tunggu hingga mengental angkat dan sajikan--;26
Daging lapis telur;1/2 kg daging sapi--1 butir telur ayam--1 ruas lengkuas--1 batang serai--5 sdm kecap manis--2 lembar daun salam--2 lembar daun jeruk--1 liter air panas--bumbu halus:--8 butir bawang merah--4 butir bawang putih--4 butir kemiri, sangrai--1 sdm ketumbar bubuk--1/2 sdm merica bubuk--4 buah cabe merah keriting--garam--;Dalam wadah aduk rata daging dengan bumbu halus dan telur diamkan sebentar--Panaskan sedikit minyak dalam wajan, masukkan daging dengan bumbunya, masak hingga berubah warna, masukkan bumbu lainnya--Tuang air, masak hingga daging empuk dan kuah mengental--;16
Tumis Jagung Telur;2 buah Jagung Manis--1 butir telur--2 siung bawang merah--1 siung bawang putih--4 buah cabe kriting--4 buah cabe rawit-- Garam dan Kaldu penyedap--;Haluskan Bawang merah dan bawang putih. Lalu iris jagung dan iris cabe.--Langkah pertama panaskan minyak, setelah itu masukan bahan yang telah dihaluskan tadi. Kemudian setelah bahan sudah mulai matang masukan jagung yang telah diiris dan masukan telur. Tambahkan cabe kriting yang sudah diiris dan bumbu penyedap seperti garam dan kaldu.--Aduk hingga matang kemudian sajikan.--;12
Telur Balado Ikan Teri;6 butir Telur Ayam--Cabai--Minyak Nabati--5 buah Bawang merah--4 siung Bawang Putih--1/2 sdt Gula .--1 sdt Garam--1 buah Tomat--1 Gengam Ikan Teri--;Rebus Telur hingga Matang.--Kupas kulit telur yg anda rebus tadi.--Setelah dikupas di goreng hinga timbul kulit, lalu Goreng Ikan Teri hingga Garing.--Siapkan Minyak, dan ambil 1 butir bawang merah dan 1 butir bawang putih. Dikupas di potong kemudian cacah sampai halus.--Setelah itu tumis hingga tercium bau harum. Masukkan Bumbu Cabai yang sudah di haluskan. Tambahkan minyak dan penyedap rasa, aduk hingga harum, lalu masukkan telur dan ikan teri aduk sampai merata. Dan siap disajikan.--;19
Lodeh labu siam, kacang panjang, ayam, telur dan tahu;1 buah labu siam--5 batang kacang panjang potong--3 butir telur ayam rebus--250 gr ayam--1 kotak tahu--2 lembar daun jeruk--1 batang sereh--1 ruas jari lengkuas--1 lembar daun salam--1 sdt gula--1 sdt garam--500 ml air kaldu--250 ml santan kental--1 sdm minyak--Bumbu halus--5 siung bawang merah--3 siung bawang putih--5 buah cabe merah--1 sdt ketumbar--kunyit--;Panaskan minyak goreng, lalu tumis bumbu halus berserta daun jeruk, daun salam, dan lengkuas. tumis hingga harum--Masukkan ayam, tumis kembali ayam hingga berubah warna. masukkan air kaldu dan santan, lalu biarkan hingga mendidih.--Setelah mendidih, masukkan labu siam dan kacang panjang. diamkan hingga sayur layu.--Masukkan tahu dan telur rebus. tambahkan gula dan garam. masak selama 5 menit.--Setelah 5 menit, koreksi rasa. hidangan siap disajikan.--;61
Sarden telur ceplok;3 butir telur--1 kaleng sarden cabe--3 butir bawang putih--3 butir bawang merah--1 genggam kacang polong--3 buah cabe--3 buah cabe hijau--150 ml air hangat--Margarin--1 sdt garam--1 sdt kecap manis--1 sdt bubuk cabe--1 sdt merica bubuk--;Goreng telur, lalu tiriskan--Panaskan margarin lalu tumis bawang putih, bawang merah dan cabe sampai harum, kemudian masukkan kacang polong dan air 50ml--Masukkan sarden, koreksi rasa, kemudian tambahkan air 100ml tunggu mendidih--Masukkan telur, aduk pelan. Tunggu meresap. Siap disajikan.--;5
