Title,Ingredients,Steps
Rawon daging sapi,1 kg daging sapi campur tetelan sedikit -- 2 liter air -- 8 keluwek -- 10 siung bawang merah -- 4 siung bawang putih -- 4 buah kemiri -- 1 sdm ketumbar -- 1 ruas jahe -- 1 ruas kunyit -- 1 ruas lengkuas -- 1 sdt jinten -- 1 sdm lada halus --  Garam --  gula -- 5 lembar daun jeruk -- 2 batang sereh -- 3 lembar daun salam -- kecambah -- Kerupuk -- Sambal --,"Rebus daging dengan api kecil sampai empuk + 1 jam ,  angkat tiriskan setelah dingin --  potong2 sesuai selera airnya ,  simpan untuk campuran rawon -- Sangrai dua bawang ,  ketumbar ,  jinten ,  kunyit ,  kemiri sampai harum -- Pecahkan keluwek ambil isinya lalu rendam air panas -- Haluskan semua bahan bumbu lalu masukkan keluwek ,  haluskan sampai merata -- Tumis bumbu halus sampai harum ,  masukkan salam ,  sereh aduk rata --  masukkan daging dan aduk aduk sampai bumbu meresap -- Masukkan air kaldu rebusan daging ,  tambahkan air biasa sampai + 2ltr biarkan matang dan meresap -- Tambahkan garam gula dan penyedap sampai rasa nya pas -- Sajikan dan disantap -- "
Rendang Daging Sapi Kentang,"750 gr daging sapi ,  potong potong -- 1000 ml santan encer -- 1000 ml santan kental -- 5 lmbr daun jeruk -- 1 btg sereh ,  memarkan -- 4 buah kentang ,  kupas ,  potong2 -- Bumbu Halus -- 1 ons cabe merah -- 2 cm kunyit -- 12 siung bawang merah -- 5 siung bawang putih -- 2 cm lengkuas -- Secukupnya garam dan gula -- ","Rebus santan encer ,  daun jeruk ,  sereh dan bumbu halus ,  masak hingga mendidih -- Masukkan daging yang sudah di potong potong ,  masukkan garam dan gula secukupnya ,  masak hingga santan kental -- Masukkan santan kental ,  setelah santan udah mulai berkurang ,  masukkan kentang ,  masak hingga rendang nya agak mengering dan berminyak ,  angkat dan sajikan. -- "
Dendeng sapi bumbu kecap,1 bungkus dendeng sapi -- 3 buah bawang merah -- 2 buah bawang putih -- secukupnya Garam -- 1 sendok kecil gula pasir -- secukupnya Lada bubuk -- secukupnya merica bubuk -- kecap manis -- bumbu royco  ( ayam )  --  air matang -- minyak goreng --,"Potong dendeng sesuai selera -- Lalu goreng setengah matang dan tiriskan -- Potong halus bawang merah dan bawang putih -- Siapkan wajan dan tuangkan sedikit minyak -- Tumis bawang merah dan bawang putih hingga wangi -- Lalu tambahkan sedikit garam , rocyo ayam , lada bubuk -- Aduk lalu masukkan dendeng yang sudah ditiriskan  -- Lalu aduk2 dan tambahkan sedikit merica bubuk -- Lalu masukkan kecap manis dan sedikit air matang -- Lalu tambahkan sedikit gula pasir -- Lalu tes rasa dan siap disajikan dalam keadaan hangat -- "
Soto Sapi Kuah Bening,"1 / 2 kg daging tetelan sapi -- 1 buah lobak ukuran besar ,  cuci bersih dan iris seuai selera -- 1 batang serai ,  keprek -- Seujung kelingking jahe ,  keprek -- Secukupnya selederi ,  cincang -- 2 biji kapulaga -- 3 biji cengkeh -- Secukupnya kayu manis -- Secukupnya bawang pre ,  iris besar atau sesuai selera -- Air ( sesuai kebutuhan yaa )  -- Bumbu halus : -- 2 siung bawang putih -- 1 siung bawang merah -- Secukupnya merica -- Secukupnya ketumbar -- Secukupnya pala -- Secukupnya jintan -- Sedikit minyak untuk menumis -- Secukupnya Garam -- Secukupnya Kaldu bubuk rasa sapi -- ",Cuci bersih daging lalu rebus daging ( Buang air rebusan pertama agar kuah tidak keruh )  Masukkan lagi air dan rebus kembali daging hingga empuk dan berkaldu -- Keluarkan daging dan iris sesuai selera --  Masukkan kembali ke air rebusan -- Tambahkan lagi air nya jika di rasa kurang -- Rebus lagi daging... Dan masukkan serai jahe kapulaga cengkeh dan kayu manis -- Sambil menunggu aroma keluar dari rebusan daging.. Siapkan wajan panaskan sedikit minyak lalu tumis bumbu halus... Setelah wangi masukkan bumbu halus dalam rebusan daging.. -- Masukkan lobak dalam rebusan daging tunggu hingga lobak empuk -- Setelah lobak empuk masukkan daun pre dan daun seledri.. -- Masukkan garam dan kaldu bubuk... Test rasa... -- Dan siap sajikan dengan sambal atau pelengkap lainnya
Pepes Tahu Daging Sapi,"2 buah tahu putih ukuran besar ,  rendam air panas 1 / 2 jam -- 100 gram daging sapi cincang -- 6 siung bawang putih -- 7 butir bawang merah -- 3 buah cabe merah besar -- 10 buah cabe rawit merah -- 1 ruas kecil kencur -- secukupnya Garam -- secukupnya Gula -- Penyedap rasa -- Daun pisang untuk membungkus -- Minyak goreng untuk menumis daging -- ","Tumis daging cincang hingga matang. Sisihkan. -- Haluskan bawang putih ,  bawang merah ,  cabe ,  dan kencur. Beri garam dan gula. -- Haluskan tahu putih. Campur dengan tumisan daging dan bumbu halus. Beri penyedap rasa. Jangan lupa tes rasa. -- Taruh 1 sdm adonan tahu ke daun pisang. Gulung lalu semat dengan tusuk gigi. -- Kukus pepesan hingga matang selama 30 menit. -- Siap di sajikan"
Tumis Jamur bakso sapi.,10 bakso sapi potong tipis2. -- 200 grm jamur kancing. -- 3 siung bawang putih -- 5 siung bawang merah -- 10 cabe rawit -- Daun bawang  -- 1 buah tomat --  Gula --  garam -- 3 sdm kecap manis,Cuci bersih semua bumbu..iris-iris... -- Cuci bersih jamur..iris-iris..bakso sapi iris tipis -- Nyalakan api sedang..tumis bumbu sampai harum... -- Masukkan bakso sapi iris aduk2..kmudian masukkan jamur..aduk rata..beri gula garam..sdikit air..tunggu sampai matang..beri kecap manis..saus tiram.. -- Stelah matang angkat sajikan... --
Oseng Koyor Sapi,"1 kg daging koyor sapi -- 5 siung bawang merah ,  iris -- 2 siung bawang putih ,  iris -- 3 buah cabe rawit merah-2 buah cabe merah keriting ,  iris -- 1 / 2 buah tomat ,  belah jadi 2 -- 2 lembar daun salam -- 2 lembar daun jeruk -- 1 buah sereh ,  geprek -- 1 ruas jahe ,  geprek -- 1 ruas lengkuas ,  geprek -- 1 sdm gula merah cair -- 1 sdt merica bubuk -- 1 sdm kecap manis -- 2 sdm minyak sayur --  gula pasir --  garam --  penyedap rasa )  -- 150 air kaldu -- 1 liter air","Rebusan daging  ( I ) : Potong daging koyor kecil-kecil. Siapkan air dingin ke dalam panci rebusan. Masukkan irisan daging. Masak sampai air mendidih dan kotoran terangkat. Buang airnya tiriskan daging -- Rebusan daging  ( II ) : Siapkan panci yang sudah terisi 1Liter air dingin. Masukkan daging beserta sejumput garam dan merica. Rebus daging sampai empuk. -- Panaskan minyak ke dalam wajan dan masukkan irisan bawang merah dan bawang putih. Tumis hingga setengah matang -- Masukkan irisan cabe ,  salam ,  daun jeruk ,  jahe geprek ,  sereh geprek ,  laos geprek ,  dan tomat. Masak hingga bumbu harum -- Masukkan daging koyor sapi yang telah direbus. Masak daging hingga bumbu tercampur. Tambahkan gula ,  garam ,  merica ,  penyedap rasa ,  kecapa manis kemudian masak kembali -- Masukkan air kaldu. Masak sampai matang dan air menyusut. -- Koreksi rasa -- Oseng daging koyor siap dihidangkan. Sajikan dengan taburan bawang goreng untuk menambah kenikmatan -- "
Lodeh kikil sapi,1 / 4 kikil sapi potong kotak cuci bersih -- 10 buah tahu sumedang -- 6 buah kacang panjang-5 buah cabe hijau -- 65 ml santan kental -- 2 sdm gula putih -- 1 sdm penyedap rasa sapi --  merica bubuk -- 2 lmbr daun salam -- 1 jari lengkuas --  air --  minyak goreng -- Bumbu halus -- 5 siung bawang merah -- 2 siung bawang putih -- 1 bh cabe merah -- 2 butir kemiri -- 1 sdt ketumbar --  gula merah --,"Tumis bumbu halus sampai harum tandanya bumbu udah matang beri air sedikit , masukan daun salam dan lengkuas -- Masukan cabe hijau , kikil sapi , kacang panjang , tambahkan air lagi aduk terus masukan tahu sumedang , gula putih , penyedap dan merica bubuk  -- Setelah airnya mulai mendidih masukan santan , aduk terus jangan sampai santan pecah -- Setelah mendidih matikan kompor -- Lodeh kikil siap di sajikan -- "
Kwetiau Sapi Goreng,"500 gram kwetiau basah ,  siram air panas ,  tiriskan  ( kalau menggunakan kwetiaw kering ,  direbus hingga lembut ,  tiriskan dan beri minyak sayur biar tidak lengket )  -- 250 gram daging sapi has dalam -- Bakso daging ,  iris tipis -- 150 gram caisim ,  potong-potong kurang lebih 3 cm -- 250 gram taoge ,  buang akar -- 4-5 butir telur ,  kocok telur --  Daun bawang dan seledri -- 10 siung bawang putih -- 1 cm jahe -- 5 butir bawang merah -- 1 sdt garam -- Saus: -- 2 sdm kecap manis -- 2 sdt kecap asin -- 1 / 2 sdt merica bubuk -- ","Rebus daging sampai matang ,  iris tipis-tipis. -- Panaskan minyak dalam wajan ,  tumis bumbu halus hingga harum. -- Masukkan Daging ,  bakso dan telur kocok ,  aduk sampai telur berbutir-butir. -- Tuang campuran saus ,  caisim ,  dan kwetiau."
Kulit sapi Bumbu santan kering,500 gr kulit sapi -- 1 bks kara santan -- 2 batang daun kemangi -- 4 butir kemiri -- 4 sihung bawang merah -- 2 sihung bawang putih -- 2 ruas kunyit ukuran kecil -- 4 buah cabe gendol -- 2 buah cabai merah -- secukupnya Terasi -- Gula pasir -- Penyedap rasa -- Garam -- Air -- Minyak --,"Haluskan kunyit , kemiri , bawang putih , bawang merah , cabe merah sampai halus -- Rebus kulit sapi sampai empuk -- Tumis bumbu halus lalu tambahkan kulit sapi yang telah di rebus -- Masukkan bahan lainnya aduk sampai merata dan tambahkan air secukupnya -- tambahkan cabai gendol dan daun kemangi -- siap disajikan"
Semur Hati Sapi,"1 / 2 kg hati sapi -- 3 siung bawang putih -- 8 siung bawang merah -- 5 biji kemiri -- 1 ruas kunyit -- 1 royco -- 1 / 2 bungkus ladaku -- 1 bunga lawang ,  kapolaga -- Sedikit pala -- 3 gelas air -- sesuai selera Kecap manis -- 1 sdt gula pasir -- Daun jeruk dan daun salam -- ","Cuci hati sapi lalu rebus 20 menit ,  setelah itu potong kotak -- Blender semua bumbu kecuali daun jeruk ,  salam ,  bunga lawang dan kapolaga -- Tumis bumbu ,  masukan daun jeruk ,  salam ,  bunga lawang dan kapolaga ,  aduk2 -- Lalu masukkan hati sapi dan beri air ,  kecap ,  royco dan ladaku ,  aduk2 -- Biarkan sampai airnya berkurang ,  sambil diaduk -- Setelah matang dan airnya berkurang ,  matikan kompor -- Nanti airnya akan meresap sendiri -- Sajikan dengan kerupuk udang sabagai pelengkap -- "
Sambel Ati Sapi,1 / 2 Kg Ati Sapi -- 3 Buah Kentang -- 2 Papan Pete -- 2 Cm Lengkuas  ( Di Geprek )  -- Secukupnya Santan  -- Garam -- Gula -- Lada Bubuk -- Bumbu Halus -- 10 Buah Cabe Merah -- 15 Buah Cabe Rawit -- 3 Buah Bawang Putih -- 4 Buah Bawang Merah -- 2 Buah Kemiri --,"Rebus Ati Sapi ,  Setelah itu potong potonh dadu -- Goreng kentang yang sudah di potong potong -- Tumis bumbu halus dan lengkuas sampai harum -- setelah harum ,  masukkan ati sapi dan santan -- Lalu masukkan kentang yang sudah di goreng dan pete -- Tambah garam ,  lada dan gula secukupnya -- Cicip dan tunggu sampai santan meresap. --  Setelah meresap ,  angkat siap disajikan"
Sop Kaki sapi rempah,1 kg kaki sapi -- 1 / 2 sdm garam -- 1 sdt gula -- 2 siung bawang putih -- 2 lbr daun salam -- 1 btg sereh lalu geprek -- 1 liter air -- 4 batang wortel iris kotak kotak ukuran sedang -- 2 buah kentang iris kotak ukuran sedang -- 1 batang brokoli ukuran sedang potong sesuai selera -- 4 lbr kol sobek2 sesuai selera -- 2 buah tomat iris kotak besar -- 2 batang seledri iris halus -- 2 batang daun bawang iris halus -- 3 siung bawang putih halus kan -- 1 siung bawang bombay cincang halus -- 1 sdt merica -- 5 biji cengkih -- 1 sdt pala bubuk -- 1 ruas kayu manis  ( kira2 3cm )   /  1sdt -- 1 blok kaldu sapi maggi -- 1 sdt gula --  Garam --  --,"Rebus kaki sapi beserta bumbu ( gula , bawang putih ,  daun salam , sereh )  dlm presto selama 15 mnit -- Setelah 15 menit matikan panci tunggu sampai uap panasnya hilang -- Rebus semua sayuran dengan air 500ml sampai empuk  ( kol dan brokoli dimasukan terakhir ya )  -- Tumis semua bumbu dengan 3sdm minyak sampai harum.. -- Setelah sayuran empuk masukan kaki sapi yang sudah di presto beserta kaldunya -- Masukan bumbu yang sudah di tumis lalu tunggu sampai mendidih -- Tambahkan kaldu blok ,  garam dan gula aduk rata -- Terakhir tambahkan seledri dan bawang daun -- Matikan api lalu masukan potongan tomat -- "
Ice cream Susu sapi,1 lt Susu sapi -- 30 gr tepung maizena -- 200 gr gula pasir -- 1 sachet skm putih -- 1 / 2 sdm SP -- Pasta rasa,"Masak Susu ,  gula ,  skm ,  Dan tepung maizena yang sudah dilarutkan terlebih dahulu dengan air hingga mendidih. Dinginkan adonan lalu masukkan ke freezer hingga beku -- Kerok adonan yang sudah beku dengan garpu. Tambahkan sp yang sdh ditim lalu mixer  15 menit hingga adonan menjadi lembut Dan mengembang -- Bagi adonan menjadi Dua. Tambahkan pasta sesuai selera. Masukkan freezer hingga beku. -- "
Burger Daging Sapi,250 gr Daging sapi giling -- 1 butir telor ayam -- 2 sdm Tepung panir -- 1 bh bawang bombay diiris kotak kecil -- Bawang putih tumbuk kasar -- secukupnya Garam -- secukupnya Merica -- secukupnya Oregano --,"Tumis bawang bombay dan bawang putih sampai harum ,  angkat lalu sisihkan -- Kocok telur lalu masukkan daging giling dan tumisan bawang ,  aduk rata -- Campur adonan dengan tepung roti ,  lalu bentuk bulat2 -- Masukkan daging burger di kukusan yang sdh diberi alas alumunium foil yang diberi mentega. Masak hingga matang. -- Beef patty alias daging burger siap diolah -- Jika ingin membuat burger ,  keluarkan beef patty dr kulkas lalu goreng memakai mentega dengan api kecil supaya panasnya merata"
Nasi Goreng Buntut Sapi,2 piring nasi putih -- 3 potong Buntut sapi -- 1 sdm mentega -- 10 buah cabe rawit -- Secukupnya garam -- Secukupnya kaldu bubuk -- Secukupnya kecap manis -- 4 siung bawang merah -- 2 siung bawang putih -- 2 buah cabe merah --,"Siapkan semua bahan. Potong Buntut sapi sesuai selera dan pisahkan dari tulangnya. Iris cabe rawit dan sisihkan -- Haluskan bumbu halus ,  panaskan mentega lalu tumis bumbu halus hingga matang dan harum. Masukan potongan Buntut sapi dan irisan cabe rawit lalu aduk hingga rata -- Setelah bumbu rata ,  masukkan nasi dan aduk lagi hingga nasi benar-benar terpisah dan tidak ada yang membulat. Tambahkan garam dan kaldu bubuk secukupnya lalu koreksi rasa -- Jika rasa sudah pas ,  tambahkan kecap manis dan aduk lagi hingga merata dan kecap menjadi matang.  ( mengaduk nasi dilakukan secara cepat agar bagian bawahnya tidak gosong ) . Setelah itu Nasi goreng Buntut sapi siap disajikan dengan taburan bawang goreng diatasnya  ( bagi yang suka )  -- "
